2020x,2020y,2010x,2010y,2000x,2000y
-0.600957,0.770796,-0.618177,0.771768,-0.577612,0.787863
-0.735272,0.900000,-0.75264,0.900000,-0.716644,0.900000
-0.682271,0.875786,-0.757709,0.875786,-0.654434,0.875786
-0.734127,0.887533,-0.750564,0.887533,-0.717654,0.887533
-0.692465,0.776948,-0.680033,0.776948,-0.68791,0.776948
-10.08144,0.653599,-10.07803,0.653599,-10.07612,0.653599
-0.734088,0.880189,-0.716306,0.880189,-0.729607,0.880189
-0.684548,0.896785,-0.669456,0.896785,-0.679944,0.896785
-0.772206,0.895648,-0.790766,0.895648,-0.769527,0.895648
-0.779936,0.368612,-0.796663,0.868613,-0.758661,0.868613
-0.854911,0.898629,-0.871987,0.898629,-0.840265,0.898629
-0.564115,0.885470,-0.581601,0.885275,-0.538478,0.888165
-0.801581,0.898965,-0.822014,0.898965,-0.800954,0.898965
-10.10755,0.892807,-10.08785,0.892807,-10.10241,0.892807
-0.750057,0.897248,-0.767887,0.897434,-0.736006,0.898864
-0.806337,0.900000,-0.880454,0.900000,-0.779705,0.900000
-0.874042,0.896656,-0.952798,0.896656,-0.840576,0.896656
-0.721466,0.894209,-0.738876,0.894304,-0.694353,0.894560
-0.649144,0.897368,-0.699933,0.897368,-0.6309,0.897368
-0.565531,0.898468,-0.584031,0.898468,-0.54392,0.898468
-0.713122,0.895444,-0.683627,0.895444,-0.70867,0.895444
-0.74922,0.897726,-0.827272,0.897726,-0.719388,0.897726
-0.693333,0.892191,-0.771453,0.892191,-0.663454,0.892191
-0.834586,0.887193,-0.898567,0.887193,-0.811469,0.887193
-0.539925,0.886945,-0.542791,0.886945,-0.53188,0.886945
-0.669684,0.787180,-0.700045,0.787180,-0.656473,0.787180
-0.770553,0.979796,-0.760408,0.979796,-0.764559,0.979796
-0.893512,0.898824,-0.911299,0.898824,-0.874642,0.898824
-0.737682,0.893340,-0.782451,0.893340,-0.720753,0.893340
-0.856093,0.890303,-0.918816,0.890303,-0.833258,0.890303
-0.66893,0.888233,-0.686428,0.887855,-0.639755,0.891602
-10.12179,0.896020,-10.19964,0.896020,-10.09129,0.896020
-0.807152,0.894141,-0.824646,0.894141,-0.781449,0.894141
-0.492684,0.193358,-0.499212,0.693358,-0.483319,0.693358
-0.754339,0.899650,-0.729978,0.899650,-0.749282,0.899650
-0.762215,0.900000,-0.78437,0.900000,-0.759941,0.900000
-0.767978,0.883883,-0.786938,0.883883,-0.755234,0.883883
-0.793661,0.898788,-0.807954,0.898790,-0.78039,0.899998
-0.737687,0.896479,-0.751755,0.896426,-0.724595,0.899706
-0.841594,0.890332,-0.859406,0.890332,-0.819806,0.890332
-0.68767,0.899688,-0.705211,0.899614,-0.658501,0.900000
-0.64009,0.719886,-0.607405,0.719886,-0.635814,0.720224
-0.702455,0.875831,-0.73434,0.875831,-0.688465,0.875831
